dataset_id,source_id,external_id,title,endpoint_url,format,update_frequency,expected_freshness_days,geo_granularity,time_granularity,priority,ingestion_mode,target_tables,personal_data,statistical_secrecy
bdm-pib,insee-bdm,CNA-2020-PIB,PIB et composantes (base 2020),https://api.insee.fr/series/BDM/V1/data/CNA-2020-PIB,SDMX-ML,annuelle,420,pays,annee,P0,sdmx_pull,core.observations,false,false
bdm-ipc,insee-bdm,IPC-2025,Indice des prix a la consommation (base 2025),https://api.insee.fr/series/BDM/V1/data/IPC-2025,SDMX-ML,mensuelle,40,pays,mois,P0,sdmx_pull,core.observations,false,false
bdm-taux-chomage,insee-bdm,TAUX-CHOMAGE,Taux de chômage localisé trimestriel (départements et régions),https://api.insee.fr/series/BDM/V1/data/TAUX-CHOMAGE,SDMX-ML,trimestrielle,120,departement,trimestre,P0,sdmx_pull,core.observations,false,false
plf-depenses-etat,data-economie,plf25-depenses-2025-du-bg-et-des-ba-selon-nomenclatures-destination-et-nature,PLF/LFI depenses BG et BA par destination et nature (id par exercice),https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/plf25-depenses-2025-du-bg-et-des-ba-selon-nomenclatures-destination-et-nature/records,JSON,annuelle,400,pays,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines,false,false
plf-recettes-etat,data-economie,plf25-recettes-du-budget-general,PLF recettes du budget general (id par exercice),https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/plf25-recettes-du-budget-general/records,JSON,annuelle,400,pays,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines,false,false
execution-budget-etat,data-economie,situations-mensuelles-budgetaires-series-longues,"Situation mensuelle budgétaire de l'État : LFI, dernière LFR et exécution depuis 2013",https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/situations-mensuelles-budgetaires-series-longues/records,JSON,mensuelle,60,pays,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-communes,ofgl,ofgl-base-communes-consolidee,Finances des communes (consolidee),https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-communes-consolidee/records,Parquet,annuelle,420,commune,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-departements,ofgl,ofgl-base-departements-consolidee,Finances des départements,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-departements-consolidee/records,Parquet,annuelle,420,departement,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-regions,ofgl,ofgl-base-regions-consolidee,Finances des régions,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-regions-consolidee/records,Parquet,annuelle,420,region,exercice,P0,ods_export,fin.public_budgets|fin.public_budget_lines|core.observations,false,false
ofgl-dotations-communes,ofgl,dotations-communes,Dotations de l'État aux communes (DGCL) : montants et critères en format long,https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/dotations-communes/records,CSV,annuelle,420,commune,exercice,P0,ods_export,core.observations,false,false
aft-dette-encours,aft,,Encours de la dette négociable de l'État,https://www.aft.gouv.fr,XLSX,mensuelle,45,pays,mois,P0,file_download,fin.public_debt,false,false
sirene-stock,data-gouv,base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,Fichiers stock Sirene (unités légales et établissements),https://www.data.gouv.fr/api/1/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Parquet,mensuelle,40,etablissement,mois,P0,file_download,fin.public_companies,true,false
etat-civil-agrege,insee-fichiers,,Naissances et décès agrégés par commune,https://www.insee.fr,CSV,annuelle,420,commune,annee,P0,file_download,core.observations,false,false
eurostat-gov-10dd-edpt1,eurostat,gov_10dd_edpt1,Dette et deficit Maastricht (EDP),https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1,JSON-stat,semestrielle,220,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-gov-10a-exp,eurostat,gov_10a_exp,Depenses publiques par fonction COFOG,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-gov-10a-main,eurostat,gov_10a_main,Principaux agregats des administrations publiques (sous-secteurs),https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-nama-10-pc,eurostat,nama_10_pc,PIB par habitant en SPA,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
eurostat-une-rt-a,eurostat,une_rt_a,Taux de chômage harmonisé annuel,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a,JSON-stat,annuelle,450,pays,annee,P0,sdmx_pull,core.observations,false,false
datagouv-catalogue,data-gouv,,Catalogue data.gouv.fr (liveness et decouverte),https://www.data.gouv.fr/api/1/site/,JSON,continue,7,,continue,P0,api_pull,meta.dataset_registry,false,false
urssaf-effectifs,urssaf,,Effectifs salaries prives et masse salariale,https://open.urssaf.fr/api/explore/v2.1/catalog/datasets,JSON,trimestrielle,150,commune,trimestre,P1,ods_export,fin.public_employment,false,false
webstat-defaillances,banque-de-france,,Defaillances d'entreprises,https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets,JSON,mensuelle,60,region,mois,P1,ods_export,fin.public_companies,false,false
rne-conseillers-municipaux,data-gouv,5c34c4d1634f4173183a64f1,Répertoire National des Élus : conseillers municipaux (maires retenus),https://www.data.gouv.fr/api/1/datasets/5c34c4d1634f4173183a64f1/,CSV,mensuelle,120,commune,millesime,P1,file_download,geo.commune_officials,true,false
dgfip-fiscalite-particuliers,data-economie,fiscalite-locale-des-particuliers,Fiscalité locale des particuliers (REI) : taux de taxe foncière par commune,https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/fiscalite-locale-des-particuliers/records,CSV,annuelle,460,commune,annee,P1,file_download,core.observations,false,false
ssmsi-delinquance,data-gouv,621df2954fa5a3b5a023e23c,Delinquance enregistree par la police et la gendarmerie (SSMSI),https://www.data.gouv.fr/fr/datasets/621df2954fa5a3b5a023e23c/,csv,semestrielle,270,commune,annee,P0,file_download,core.observations,false,true
drees-apl,data-gouv,62263314072c63d4d53e0c50,Accessibilite potentielle localisee (APL) aux medecins generalistes,https://www.data.gouv.fr/fr/datasets/62263314072c63d4d53e0c50/,XLSX,annuelle,460,commune,annee,P1,file_download,core.observations,false,false
menj-annuaire-education,data-education,fr-en-annuaire-education,Annuaire de l'education (etablissements scolaires),https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/,CSV,annuelle,460,commune,annee,P1,file_download,core.observations,false,false
eurostat-prc-hicp-manr,eurostat,prc_hicp_manr,Inflation IPCH mensuelle (glissement annuel),https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_manr,JSON-stat,mensuelle,60,pays,mois,P0,sdmx_pull,core.observations,false,false
eurostat-namq-10-gdp,eurostat,namq_10_gdp,Croissance trimestrielle du PIB en volume,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/namq_10_gdp,JSON-stat,trimestrielle,120,pays,trimestre,P0,sdmx_pull,core.observations,false,false
melodi-deces-communes,insee-melodi,DS_ETAT_CIVIL_DECES_COMMUNES,Nombre de décès annuels par commune (domiciliés),https://api.insee.fr/melodi/data/DS_ETAT_CIVIL_DECES_COMMUNES,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-bpe,insee-melodi,DS_BPE,"Base permanente des équipements (commerce, sport, services, santé)",https://api.insee.fr/melodi/data/DS_BPE,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-side-creations,insee-melodi,DS_SIDE_CREA_ENT_COM,"Créations d'entreprises par territoire (unités légales, siège)",https://api.insee.fr/melodi/data/DS_SIDE_CREA_ENT_COM,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-rp-logement,insee-melodi,DS_RP_LOGEMENT_PRINC,"Logements, résidences principales et vacance (recensement)",https://api.insee.fr/melodi/data/DS_RP_LOGEMENT_PRINC,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-rp-famille,insee-melodi,DS_RP_FAMILLE_COMP,"Familles par type (monoparentales, couples, recomposées)",https://api.insee.fr/melodi/data/DS_RP_FAMILLE_COMP,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-rp-population,insee-melodi,DS_RP_POPULATION_COMP,"Population de 15 ans et plus par catégorie sociale et tranche d'âge",https://api.insee.fr/melodi/data/DS_RP_POPULATION_COMP,CSV,annuelle,420,commune,annee,P0,melodi_file,core.observations,false,false
melodi-etat-civil-unions,insee-melodi,DS_MAR_PACS_DIV_SERIES,"Mariages, pacs et divorces (séries longues)",https://api.insee.fr/melodi/data/DS_MAR_PACS_DIV_SERIES,CSV,annuelle,420,departement,annee,P0,melodi_file,core.observations,false,false
melodi-rp-emploi,insee-melodi,DS_RP_EMPLOI_LR_PRINC,"Activité, chômage et diplômes des 15-64 ans (recensement)",https://api.insee.fr/melodi/data/DS_RP_EMPLOI_LR_PRINC,CSV,annuelle,420,commune,annee,P1,melodi_file,core.observations,false,false
rpls-logement-social,sdes,f3c2f2cb-8fb1-40fd-8733-964247744c9a,Repertoire des logements locatifs des bailleurs sociaux (RPLS) - donnees detaillees au logement,https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/f3c2f2cb-8fb1-40fd-8733-964247744c9a/csv,CSV,annuelle,400,commune,millesime,P1,api_pull,core.observations,false,false
melodi-flores-a5,insee-melodi,DS_FLORES_A5,"Établissements employeurs et effectifs salariés en cinq grands secteurs (FLORES)",https://api.insee.fr/melodi/data/DS_FLORES_A5,CSV,annuelle,420,commune,millesime,P1,melodi_file,core.observations,false,false
melodi-tour-cap,insee-melodi,DS_TOUR_CAP,"Capacités d'hébergement touristique au 1er janvier",https://api.insee.fr/melodi/data/DS_TOUR_CAP,CSV,annuelle,420,commune,millesime,P1,melodi_file,core.observations,false,false
interieur-municipales-2026-t1,data-gouv,69b82a7de5d58cc06ad35ce0,"Elections municipales 2026 - resultats du premier tour (participation seule)",https://www.data.gouv.fr/api/1/datasets/69b82a7de5d58cc06ad35ce0/,CSV,ponctuelle,3000,commune,millesime,P1,file_download,core.observations,true,false
melodi-ipc,insee-melodi,DS_IPC_PRINC,"Indice des prix à la consommation (IPC), ensemble des ménages",https://api.insee.fr/melodi/data/DS_IPC_PRINC,JSON,mensuelle,60,pays,mois,P2,melodi_pull,core.observations,false,false
melodi-cna-conso-menages,insee-melodi,DD_CNA_CONSO_MENAGES_PRODUITS,"Consommation des ménages : dépense et consommation effective",https://api.insee.fr/melodi/data/DD_CNA_CONSO_MENAGES_PRODUITS,JSON,annuelle,420,pays,annee,P2,melodi_pull,core.observations,false,false
melodi-prenoms,insee-melodi,DS_PRENOM,"Prénoms attribués aux nouveau-nés (fichier des prénoms)",https://api.insee.fr/melodi/data/DS_PRENOM,JSON,annuelle,420,departement,annee,P2,melodi_pull,core.observations,false,true
ofgl-rei,ofgl,rei,"Recensement des elements d'imposition a la fiscalite directe locale (REI)",https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/rei,CSV,annuelle,420,commune,exercice,P1,ods_export,core.observations,false,true
plf-depenses-fiscales,data-economie,plf-2026-budget-vert,"Depenses fiscales chiffrees au tome 2 des Voies et moyens (PLF 2026)",https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/plf-2026-budget-vert/records,JSON,annuelle,420,pays,exercice,P1,ods_export,core.observations|fin.public_budgets|fin.public_budget_lines,false,false
dgfip-delais-paiement-communes,data-economie,delai-paiement-moyen-collectivites-2025,"Delai global de paiement des collectivites (DGFiP)",https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/delai-paiement-moyen-collectivites-2025/records,CSV,annuelle,420,commune,exercice,P2,ods_export,core.observations,false,false
dgfip-dmto,data-economie,dmto_attrib,"Droits de mutation a titre onereux encaisses (DGFiP MEDOC)",https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/dmto_attrib/records,CSV,mensuelle,60,departement,exercice,P1,ods_export,core.observations,false,false
unedic-indemnisation-departement,data-unedic,evolution_indicateurs_cles_ac,"Depense d'indemnisation de l'assurance chomage par departement",https://data.unedic.org/api/explore/v2.1/catalog/datasets/evolution_indicateurs_cles_ac/records,CSV,mensuelle,120,departement,exercice,P1,ods_export,core.observations,false,false
cnam-prescriptions,data-ameli,prescriptions,"Prescriptions des medecins liberaux executees en ville, par departement",https://data.ameli.fr/api/explore/v2.1/catalog/datasets/prescriptions/records,CSV,annuelle,420,departement,annee,P2,ods_export,core.observations,false,true
urssaf-exonerations,urssaf,exos-secteur-prive-par-depart-grandes-categories,"Exonerations de cotisations sociales du secteur prive, par departement",https://open.urssaf.fr/api/explore/v2.1/catalog/datasets/exos-secteur-prive-par-depart-grandes-categories/records,CSV,annuelle,400,departement,annee,P1,ods_export,core.observations,false,false
anil-carte-des-loyers,data-gouv,carte-des-loyers,"Carte des loyers : loyers d'annonce au m2 par commune (ANIL / DGALN)",https://www.data.gouv.fr/api/1/datasets/carte-des-loyers/,CSV,annuelle,420,commune,annee,P2,file_download,core.observations,false,false
melodi-salaires-eqtp,insee-melodi,DS_BTS_SAL_EQTP_SEX_AGE,"Salaire net mensuel moyen en equivalent temps plein, par territoire",https://api.insee.fr/melodi/data/DS_BTS_SAL_EQTP_SEX_AGE,JSON,annuelle,420,commune,annee,P1,melodi_pull,core.observations,false,true
sitadel-construction,sdes,577a8a66-4157-4787-b00a-031b61afea61,"Sitadel : logements autorises et commences, series mensuelles communales",https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/577a8a66-4157-4787-b00a-031b61afea61/csv,CSV,mensuelle,60,commune,annuelle,P1,api_pull,core.observations,false,false
anct-fonds-europeens-2021-2027,europe-en-france,liste-operations-feder-fse-ftj-2021-2027,"Operations conventionnees FEDER, FSE+ et FTJ 2021-2027",https://www.europe-en-france.gouv.fr/fr/ressources/liste-operations-feder-fse-ftj-2021-2027,XLSX,trimestrielle,150,region,programmation,P2,file_download,core.observations,false,false
dgfip-ircom,data-gouv,limpot-sur-le-revenu-par-collectivite-territoriale-ircom,"IRCOM : impot sur le revenu par commune (foyers, revenu fiscal de reference, impot net)",https://www.data.gouv.fr/api/2/datasets/536998cba3a729239d20505e/resources/,XLSX,annuelle,420,commune,annee,P1,file_download,core.observations,false,true
plf-2023-effort-associations,data-economie,plf-2023-effort-financier-de-l-etat-en-faveur-des-associations-liste-des-credits,Effort financier de l'Etat en faveur des associations (versements 2021),https://data.economie.gouv.fr/api/v2/catalog/datasets/plf-2023-effort-financier-de-l-etat-en-faveur-des-associations-liste-des-credits/attachments,XLSX,annuelle,800,commune,exercice,P2,file_download,core.observations,false,false
drees-comptes-protection-sociale,data-drees,305_les-comptes-de-la-protection-sociale,Comptes de la protection sociale : prestations par risque,https://data.drees.solidarites-sante.gouv.fr/api/explore/v2.1/catalog/datasets/305_les-comptes-de-la-protection-sociale/records,CSV,annuelle,420,pays,annee,P0,ods_export,core.observations,false,false
